企業名,店舗名,ieul_企業id,ieul_店舗id,ロゴURL,郵便番号,都道府県,市区町村,以降住所,電話番号,FAX番号,営業時間,定休日,キャッチコピー,紹介文,査定依頼可能エリア,※参考※査定依頼可能エリア
すもも不動産,,8,11,https://foodslink.jp/syokuzaihyakka/syun/fruit/sumomo/sumomo-taiyo2s.jpg,329-1224,千葉県,四街道市,めいわ1丁目,03-0000-0000,03-0000-0000,平日9:00～18:00,水曜日、祝日、GW、他,不動産の売却はすもも不動産にお任せください,すもも不動産にお任せください！東京都の不動産売却の実績多数です。,"627,628,629,630","浦安市,四街道市,袖ケ浦市,八街市"
いちじく不動産,,9,12,https://foodslink.jp/syokuzaihyakka/syun/fruit/Figue-page/ichijiku-toyomituhime2s.jpg,329-1224,東京都,八王子市,南大沢5丁目,03-0000-0000,03-0000-0000,平日9:00～18:00,水曜日、祝日、GW、他,不動産の売却はいちじく不動産にお任せください,いちじく不動産にお任せください！東京都の不動産売却の実績多数です。,"680,681,682,683","江戸川区,八王子市,立川市,武蔵野市"
株式会社クランベリー,,10,13,https://foodslink.jp/syokuzaihyakka/syun/fruit/Cranberry/Cranberry07s.jpg,329-1224,東京都,墨田区,立花5丁目,03-0000-0000,03-0000-0000,平日9:00～18:00,水曜日、祝日、GW、他,不動産の売却は株式会社クランベリーにお任せください,株式会社クランベリーにお任せください！東京都の不動産売却の実績多数です。,"663,664,665,666","台東区,墨田区,江東区,品川区"
ぶどうエステート,,11,14,https://foodslink.jp/syokuzaihyakka/syun/fruit/Budou-page/budou-Kyoho10s.jpg,329-1224,東京都,江戸川区,南篠崎町1丁目,03-0000-0000,03-0000-0000,平日9:00～18:00,水曜日、祝日、GW、他,不動産の売却はぶどうエステートにお任せください,ぶどうエステートにお任せください！東京都の不動産売却の実績多数です。,"679,680,681,682","葛飾区,江戸川区,八王子市,立川市"
あけびエステート,,12,15,https://foodslink.jp/syokuzaihyakka/syun/fruit/akebi-page/akebi11s.jpg,329-1224,埼玉県,越谷市,瓦曽根2丁目,03-0000-0000,03-0000-0000,平日9:00～18:00,水曜日、祝日、GW、他,不動産の売却はあけびエステートにお任せください,あけびエステートにお任せください！東京都の不動産売却の実績多数です。,"551,552,553,554","草加市,越谷市,蕨市,戸田市"
シークワーサー不動産,,13,16,https://foodslink.jp/syokuzaihyakka/syun/fruit/shikuwasa/shikuwasa04s.jpg,329-1224,埼玉県,ふじみ野市,大井1丁目,03-0000-0000,03-0000-0000,平日9:00～18:00,水曜日、祝日、GW、他,不動産の売却はシークワーサー不動産にお任せください,シークワーサー不動産にお任せください！東京都の不動産売却の実績多数です。,"571,572,573,574","吉川市,ふじみ野市,白岡市,北足立郡伊奈町"
スターフルーツ株式会社,,14,17,https://foodslink.jp/syokuzaihyakka/syun/fruit/starfruit/starfruit04s.jpg,329-1224,埼玉県,川越市,吉田新町2丁目,03-0000-0000,03-0000-0000,平日9:00～18:00,水曜日、祝日、GW、他,不動産の売却はスターフルーツ株式会社にお任せください,スターフルーツ株式会社にお任せください！東京都の不動産売却の実績多数です。,"534,535,536,537","さいたま市岩槻区,川越市,熊谷市,川口市"
青パパイヤ不動産,,15,18,https://foodslink.jp/syokuzaihyakka/syun/fruit/Papaya/PapayaGreen01s.jpg,329-1224,千葉県,松戸市,北松戸1丁目,03-0000-0000,03-0000-0000,平日9:00～18:00,水曜日、祝日、GW、他,不動産の売却は青パパイヤ不動産にお任せください,青パパイヤ不動産にお任せください！東京都の不動産売却の実績多数です。,"608,609,610,611","木更津市,松戸市,野田市,茂原市"
Speee30不動産,,30,34,https://foodslink.jp/syokuzaihyakka/syun/fruit/Banana/Chiquita07.jpg,329-1224,岐阜県,大垣市,大井２丁目,03-0000-0000,03-0000-0000,平日9:00～18:00,水曜日、祝日、GW、他,不動産の売却はSpeee30不動産にお任せください,Speee30不動産34支店にお任せください！東京都の不動産売却の実績多数です。,"970,971,972,973",
Speee16不動産,,16,19,https://foodslink.jp/syokuzaihyakka/syun/fruit/abricotto/anzu21s.jpg,329-1224,東京都,日野市,平山3丁目,03-0000-0000,03-0000-0000,平日9:00～18:00,水曜日、祝日、GW、他,不動産の売却はSpeee16不動産にお任せください,Speee16不動産にお任せください！東京都の不動産売却の実績多数です。,"691,692,693,694","小平市,日野市,東村山市,国分寺市"
Speee17不動産,,17,20,https://foodslink.jp/syokuzaihyakka/syun/fruit/Strawberry/Benituyaka08s.jpg,329-1224,千葉県,市原市,うるいど南3丁目,03-0000-0000,03-0000-0000,平日9:00～18:00,水曜日、祝日、GW、他,不動産の売却はSpeee17不動産にお任せください,Speee17不動産にお任せください！東京都の不動産売却の実績多数です。,"618,619,620,621","勝浦市,市原市,流山市,八千代市"
Speee18不動産,,18,21,https://foodslink.jp/syokuzaihyakka/syun/fruit/Melon/EarlsMelon16s.jpg,329-1224,神奈川県,横浜市南区,通町4丁目,03-0000-0000,03-0000-0000,平日9:00～18:00,水曜日、祝日、GW、他,不動産の売却はSpeee18不動産にお任せください,Speee18不動産にお任せください！東京都の不動産売却の実績多数です。,"723,724,725,726","横浜市中区,横浜市南区,横浜市保土ケ谷区,横浜市磯子区"
Speee19不動産,,19,22,https://foodslink.jp/syokuzaihyakka/syun/top-img/durian16bs.jpg,329-1224,東京都,足立区,花畑2丁目,03-0000-0000,03-0000-0000,平日9:00～18:00,水曜日、祝日、GW、他,不動産の売却はSpeee19不動産にお任せください,Speee19不動産にお任せください！東京都の不動産売却の実績多数です。,"677,678,679,680","練馬区,足立区,葛飾区,江戸川区"
Speee20不動産,,20,23,https://foodslink.jp/syokuzaihyakka/syun/top-img/apple_Haruka04bs.jpg,329-1224,神奈川県,小田原市,扇町3丁目,03-0000-0000,03-0000-0000,平日9:00～18:00,水曜日、祝日、GW、他,不動産の売却はSpeee20不動産にお任せください,Speee20不動産にお任せください！東京都の不動産売却の実績多数です。,"751,752,753,754","藤沢市,小田原市,茅ヶ崎市,逗子市"
Speee21不動産,,21,24,https://foodslink.jp/syokuzaihyakka/syun/fruit/Peach-page/momo_Sakura07s.jpg,329-1224,埼玉県,さいたま市岩槻区,大字古ケ場2丁目,03-0000-0000,03-0000-0000,平日9:00～18:00,水曜日、祝日、GW、他,不動産の売却はSpeee21不動産にお任せください,Speee21不動産にお任せください！東京都の不動産売却の実績多数です。,"533,534,535,536","さいたま市緑区,さいたま市岩槻区,川越市,熊谷市"
Speee22不動産,,22,25,https://foodslink.jp/syokuzaihyakka/syun/fruit/Banana/Chiquita07.jpg,329-1224,東京都,目黒区,駒場2丁目,03-0000-0000,03-0000-0000,平日9:00～18:00,水曜日、祝日、GW、他,不動産の売却はSpeee22不動産にお任せください,Speee22不動産にお任せください！東京都の不動産売却の実績多数です。,"666,667,668,669","品川区,目黒区,大田区,世田谷区"
Speee23不動産,,23,26,https://foodslink.jp/syokuzaihyakka/syun/fruit/sumomo/sumomo-taiyo2s.jpg,329-1224,埼玉県,さいたま市緑区,道祖土1丁目,03-0000-0000,03-0000-0000,平日9:00～18:00,水曜日、祝日、GW、他,不動産の売却はSpeee23不動産にお任せください,Speee23不動産にお任せください！東京都の不動産売却の実績多数です。,"532,533,534,535","さいたま市南区,さいたま市緑区,さいたま市岩槻区,川越市"
Speee24不動産,,24,27,https://foodslink.jp/syokuzaihyakka/syun/fruit/Figue-page/ichijiku-toyomituhime2s.jpg,329-1224,埼玉県,本庄市,小島6丁目,03-0000-0000,03-0000-0000,平日9:00～18:00,水曜日、祝日、GW、他,不動産の売却はSpeee24不動産にお任せください,Speee24不動産にお任せください！東京都の不動産売却の実績多数です。,"542,543,544,545","加須市,本庄市,東松山市,春日部市"
Speee25不動産,,25,28,https://foodslink.jp/syokuzaihyakka/syun/fruit/Cranberry/Cranberry07s.jpg,329-1224,東京都,江戸川区,江戸川2丁目,03-0000-0000,03-0000-0000,平日9:00～18:00,水曜日、祝日、GW、他,不動産の売却はSpeee25不動産にお任せください,Speee25不動産にお任せください！東京都の不動産売却の実績多数です。,"679,680,681,682","葛飾区,江戸川区,八王子市,立川市"
Speee26不動産,,26,29,https://foodslink.jp/syokuzaihyakka/syun/fruit/Budou-page/budou-Kyoho10s.jpg,329-1224,東京都,世田谷区,大蔵1丁目,03-0000-0000,03-0000-0000,平日9:00～18:00,水曜日、祝日、GW、他,不動産の売却はSpeee26不動産にお任せください,Speee26不動産にお任せください！東京都の不動産売却の実績多数です。,"668,669,670,671","大田区,世田谷区,渋谷区,中野区"
Speee27不動産,,27,30,https://foodslink.jp/syokuzaihyakka/syun/fruit/akebi-page/akebi11s.jpg,329-1224,埼玉県,ふじみ野市,上福岡6丁目,03-0000-0000,03-0000-0000,平日9:00～18:00,水曜日、祝日、GW、他,不動産の売却はSpeee27不動産にお任せください,Speee27不動産にお任せください！東京都の不動産売却の実績多数です。,"571,572,573,574","吉川市,ふじみ野市,白岡市,北足立郡伊奈町"
Speee28不動産,,28,31,https://foodslink.jp/syokuzaihyakka/syun/fruit/shikuwasa/shikuwasa04s.jpg,329-1224,神奈川県,横須賀市,田浦町4丁目,03-0000-0000,03-0000-0000,平日9:00～18:00,水曜日、祝日、GW、他,不動産の売却はSpeee28不動産にお任せください,Speee28不動産にお任せください！東京都の不動産売却の実績多数です。,"747,748,749,750","相模原市南区,横須賀市,平塚市,鎌倉市"
Speee29不動産,,29,32,https://foodslink.jp/syokuzaihyakka/syun/fruit/starfruit/starfruit04s.jpg,329-1224,東京都,日野市,南平5丁目,03-0000-0000,03-0000-0000,平日9:00～18:00,水曜日、祝日、GW、他,不動産の売却はSpeee29不動産にお任せください,Speee29不動産にお任せください！東京都の不動産売却の実績多数です。,"691,692,693,694","小平市,日野市,東村山市,国分寺市"
Speee30不動産,,30,33,https://foodslink.jp/syokuzaihyakka/syun/fruit/Papaya/PapayaGreen01s.jpg,329-1224,神奈川県,横浜市港北区,日吉本町4丁目,03-0000-0000,03-0000-0000,平日9:00～18:00,水曜日、祝日、GW、他,不動産の売却はSpeee30不動産にお任せください,Speee30不動産にお任せください！東京都の不動産売却の実績多数です。,"727,728,729,730","横浜市金沢区,横浜市港北区,横浜市戸塚区,横浜市港南区"
Speee35不動産,,35,44,https://foodslink.jp/syokuzaihyakka/syun/fruit/sumomo/sumomo-taiyo2s.jpg,329-1224,秋田県,大仙市,協和船岡字上中野,03-0000-0000,03-0000-0000,平日9:00～18:00,水曜日、祝日、GW、他,不動産の売却はSpeee35不動産にお任せください,Speee35不動産にお任せください！東京都の不動産売却の実績多数です。,"309,310,311,312",
Speee33不動産,,33,41,https://foodslink.jp/syokuzaihyakka/syun/fruit/Figue-page/ichijiku-toyomituhime2s.jpg,329-1224,京都府,京都市下京区,門前町堀川通花屋町下る,03-0000-0000,03-0000-0000,平日9:00～18:00,水曜日、祝日、GW、他,不動産の売却はSpeee33不動産にお任せください,Speee33不動産にお任せください！東京都の不動産売却の実績多数です。,"1,176,117,711,781,170",
Speee36不動産,,36,45,https://foodslink.jp/syokuzaihyakka/syun/fruit/Cranberry/Cranberry07s.jpg,329-1224,福島県,福島市,笹谷字堰向,03-0000-0000,03-0000-0000,平日9:00～18:00,水曜日、祝日、GW、他,不動産の売却はSpeee36不動産にお任せください,Speee36不動産にお任せください！東京都の不動産売却の実績多数です。,"360,361,362,363",
Speee37不動産,,37,46,https://foodslink.jp/syokuzaihyakka/syun/fruit/Budou-page/budou-Kyoho10s.jpg,329-1224,福島県,二本松市,田沢字叶ケ作,03-0000-0000,03-0000-0000,平日9:00～18:00,水曜日、祝日、GW、他,不動産の売却はSpeee37不動産にお任せください,Speee37不動産にお任せください！東京都の不動産売却の実績多数です。,"368,369,370,371",
Speee38不動産,,38,47,https://foodslink.jp/syokuzaihyakka/syun/fruit/akebi-page/akebi11s.jpg,329-1224,愛知県,豊田市,小峯町川田,03-0000-0000,03-0000-0000,平日9:00～18:00,水曜日、祝日、GW、他,不動産の売却はSpeee38不動産にお任せください,Speee38不動産にお任せください！東京都の不動産売却の実績多数です。,"1,080,108,110,821,080",
Speee39不動産,,39,48,https://foodslink.jp/syokuzaihyakka/syun/fruit/shikuwasa/shikuwasa04s.jpg,329-1224,山口県,長門市,仙崎本町,03-0000-0000,03-0000-0000,平日9:00～18:00,水曜日、祝日、GW、他,不動産の売却はSpeee39不動産にお任せください,Speee39不動産にお任せください！東京都の不動産売却の実績多数です。,"1,503,150,415,051,500",
Speee40不動産,,40,49,https://foodslink.jp/syokuzaihyakka/syun/fruit/starfruit/starfruit04s.jpg,329-1224,福島県,白河市,東深仁井田字反畑,03-0000-0000,03-0000-0000,平日9:00～18:00,水曜日、祝日、GW、他,不動産の売却はSpeee40不動産にお任せください,Speee40不動産にお任せください！東京都の不動産売却の実績多数です。,"364,365,366,367",
Speee41不動産,,41,50,https://foodslink.jp/syokuzaihyakka/syun/fruit/Papaya/PapayaGreen01s.jpg,329-1224,宮城県,石巻市,馬鞍字土手下,03-0000-0000,03-0000-0000,平日9:00～18:00,水曜日、祝日、GW、他,不動産の売却はSpeee41不動産にお任せください,Speee41不動産にお任せください！東京都の不動産売却の実績多数です。,"266,267,268,269",
Speee42不動産,,42,51,https://foodslink.jp/syokuzaihyakka/syun/fruit/sumomo/sumomo-taiyo2s.jpg,329-1224,秋田県,由利本荘市,親川字今泉,03-0000-0000,03-0000-0000,平日9:00～18:00,水曜日、祝日、GW、他,不動産の売却はSpeee42不動産にお任せください,Speee42不動産にお任せください！東京都の不動産売却の実績多数です。,"307,308,309,310",
Speee43不動産,,43,52,https://foodslink.jp/syokuzaihyakka/syun/fruit/Figue-page/ichijiku-toyomituhime2s.jpg,329-1224,石川県,羽咋市,東川原町苗代,03-0000-0000,03-0000-0000,平日9:00～18:00,水曜日、祝日、GW、他,不動産の売却はSpeee43不動産にお任せください,Speee43不動産にお任せください！東京都の不動産売却の実績多数です。,"835,836,837,838",
Speee44不動産,,44,53,https://foodslink.jp/syokuzaihyakka/syun/fruit/Cranberry/Cranberry07s.jpg,329-1224,福島県,白河市,双石湯名田,03-0000-0000,03-0000-0000,平日9:00～18:00,水曜日、祝日、GW、他,不動産の売却はSpeee44不動産にお任せください,Speee44不動産にお任せください！東京都の不動産売却の実績多数です。,"364,365,366,367",
Speee45不動産,,45,54,https://foodslink.jp/syokuzaihyakka/syun/fruit/Budou-page/budou-Kyoho10s.jpg,329-1224,山口県,山口市,陶丸尾沖,03-0000-0000,03-0000-0000,平日9:00～18:00,水曜日、祝日、GW、他,不動産の売却はSpeee45不動産にお任せください,Speee45不動産にお任せください！東京都の不動産売却の実績多数です。,"1,497,149,814,991,500",
Speee46不動産,,46,55,https://foodslink.jp/syokuzaihyakka/syun/fruit/akebi-page/akebi11s.jpg,329-1224,福島県,福島市,飯坂町湯野字山ノ庵,03-0000-0000,03-0000-0000,平日9:00～18:00,水曜日、祝日、GW、他,不動産の売却はSpeee46不動産にお任せください,Speee46不動産にお任せください！東京都の不動産売却の実績多数です。,"360,361,362,363",
Speee47不動産,,47,56,https://foodslink.jp/syokuzaihyakka/syun/fruit/shikuwasa/shikuwasa04s.jpg,329-1224,愛知県,名古屋市中村区,二ツ橋町１丁目,03-0000-0000,03-0000-0000,平日9:00～18:00,水曜日、祝日、GW、他,不動産の売却はSpeee47不動産にお任せください,Speee47不動産にお任せください！東京都の不動産売却の実績多数です。,"1,058,105,910,601,060",
Speee48不動産,,48,57,https://foodslink.jp/syokuzaihyakka/syun/fruit/starfruit/starfruit04s.jpg,329-1224,愛知県,津島市,宇治町字五反田,03-0000-0000,03-0000-0000,平日9:00～18:00,水曜日、祝日、GW、他,不動産の売却はSpeee48不動産にお任せください,Speee48不動産にお任せください！東京都の不動産売却の実績多数です。,"1,077,107,810,791,080",
Speee49不動産,,49,58,https://foodslink.jp/syokuzaihyakka/syun/fruit/Papaya/PapayaGreen01s.jpg,329-1224,山形県,米沢市,金池７丁目,03-0000-0000,03-0000-0000,平日9:00～18:00,水曜日、祝日、GW、他,不動産の売却はSpeee49不動産にお任せください,Speee49不動産にお任せください！東京都の不動産売却の実績多数です。,"326,327,328,329",
Speee50不動産,,50,59,https://foodslink.jp/syokuzaihyakka/syun/fruit/sumomo/sumomo-taiyo2s.jpg,329-1224,福島県,喜多方市,山都町小舟寺字舟岡道乙,03-0000-0000,03-0000-0000,平日9:00～18:00,水曜日、祝日、GW、他,不動産の売却はSpeee50不動産にお任せください,Speee50不動産にお任せください！東京都の不動産売却の実績多数です。,"366,367,368,369",
Speee51不動産,,51,60,https://foodslink.jp/syokuzaihyakka/syun/fruit/Figue-page/ichijiku-toyomituhime2s.jpg,329-1224,島根県,出雲市,知井宮町北組,03-0000-0000,03-0000-0000,平日9:00～18:00,水曜日、祝日、GW、他,不動産の売却はSpeee51不動産にお任せください,Speee51不動産にお任せください！東京都の不動産売却の実績多数です。,"1,418,141,914,201,420",
Speee52不動産,,52,61,https://foodslink.jp/syokuzaihyakka/syun/fruit/Cranberry/Cranberry07s.jpg,329-1224,富山県,富山市,城村城ヶ丘,03-0000-0000,03-0000-0000,平日9:00～18:00,水曜日、祝日、GW、他,不動産の売却はSpeee52不動産にお任せください,Speee52不動産にお任せください！東京都の不動産売却の実績多数です。,"814,815,816,817",
Speee53不動産,,53,62,https://foodslink.jp/syokuzaihyakka/syun/fruit/Budou-page/budou-Kyoho10s.jpg,329-1224,京都府,京都市下京区,裏片町正面通櫛笥東入,03-0000-0000,03-0000-0000,平日9:00～18:00,水曜日、祝日、GW、他,不動産の売却はSpeee53不動産にお任せください,Speee53不動産にお任せください！東京都の不動産売却の実績多数です。,"1,176,117,711,781,170",
Speee54不動産,,54,63,https://foodslink.jp/syokuzaihyakka/syun/fruit/akebi-page/akebi11s.jpg,329-1224,宮城県,石巻市,北村字箱清水,03-0000-0000,03-0000-0000,平日9:00～18:00,水曜日、祝日、GW、他,不動産の売却はSpeee54不動産にお任せください,Speee54不動産にお任せください！東京都の不動産売却の実績多数です。,"266,267,268,269",
Speee55不動産,,55,64,https://foodslink.jp/syokuzaihyakka/syun/fruit/shikuwasa/shikuwasa04s.jpg,329-1224,愛知県,豊田市,大坪町池ノ入,03-0000-0000,03-0000-0000,平日9:00～18:00,水曜日、祝日、GW、他,不動産の売却はSpeee55不動産にお任せください,Speee55不動産にお任せください！東京都の不動産売却の実績多数です。,"1,080,108,110,821,080",
Speee56不動産,,56,65,https://foodslink.jp/syokuzaihyakka/syun/fruit/starfruit/starfruit04s.jpg,329-1224,宮崎県,日向市,大王町３丁目,03-0000-0000,03-0000-0000,平日9:00～18:00,水曜日、祝日、GW、他,不動産の売却はSpeee56不動産にお任せください,Speee56不動産にお任せください！東京都の不動産売却の実績多数です。,"1,794,179,517,961,790",
Speee57不動産,,57,66,https://foodslink.jp/syokuzaihyakka/syun/fruit/Papaya/PapayaGreen01s.jpg,329-1224,京都府,福知山市,大字報恩寺小字廣野,03-0000-0000,03-0000-0000,平日9:00～18:00,水曜日、祝日、GW、他,不動産の売却はSpeee57不動産にお任せください,Speee57不動産にお任せください！東京都の不動産売却の実績多数です。,"1,182,118,311,841,180",
Speee58不動産,,58,67,https://foodslink.jp/syokuzaihyakka/syun/fruit/sumomo/sumomo-taiyo2s.jpg,329-1224,宮城県,栗原市,一迫字川口川北,03-0000-0000,03-0000-0000,平日9:00～18:00,水曜日、祝日、GW、他,不動産の売却はSpeee58不動産にお任せください,Speee58不動産にお任せください！東京都の不動産売却の実績多数です。,"275,276,277,278",
Speee59不動産,,59,68,https://foodslink.jp/syokuzaihyakka/syun/fruit/Figue-page/ichijiku-toyomituhime2s.jpg,329-1224,愛知県,弥富市,鯏浦町三畝割,03-0000-0000,03-0000-0000,平日9:00～18:00,水曜日、祝日、GW、他,不動産の売却はSpeee59不動産にお任せください,Speee59不動産にお任せください！東京都の不動産売却の実績多数です。,"1,103,110,411,051,100",
Speee60不動産,,60,69,https://foodslink.jp/syokuzaihyakka/syun/fruit/Cranberry/Cranberry07s.jpg,329-1224,徳島県,美馬市,美馬町字小長谷,03-0000-0000,03-0000-0000,平日9:00～18:00,水曜日、祝日、GW、他,不動産の売却はSpeee60不動産にお任せください,Speee60不動産にお任せください！東京都の不動産売却の実績多数です。,"1,520,152,115,221,520",
